Order,num,BGC-type
Rhizobiales,214,Others
Enterobacterales,72,Others
Burkholderiales,64,Others
Streptomycetales,27,Others
Sphingomonadales,26,Others
Bacillales,21,Others
Rhodobacterales,18,Others
Rhodospirillales,14,Others
Corynebacteriales,10,Others
Pseudonocardiales,10,Others
Haloferacales,5,Others
Halobacteriales,4,Others
Desulfovibrionales,3,Others
Oscillatoriales,3,Others
Pseudomonadales,3,Others
Micrococcales,2,Others
Synechococcales,2,Others
No classified,1,Others
Alteromonadales,1,Others
Bacteroidales,1,Others
Caulobacterales,1,Others
Lactobacillales,1,Others
Natrialbales,1,Others
Oceanospirillales,1,Others
Tissierellales,1,Others
Vibrionales,1,Others
Burkholderiales,22,PKS-NRP_Hybrids
Bacillales,9,PKS-NRP_Hybrids
Enterobacterales,9,PKS-NRP_Hybrids
Rhizobiales,9,PKS-NRP_Hybrids
Synechococcales,4,PKS-NRP_Hybrids
Nostocales,3,PKS-NRP_Hybrids
Vibrionales,3,PKS-NRP_Hybrids
Chroococcales,2,PKS-NRP_Hybrids
Pseudonocardiales,2,PKS-NRP_Hybrids
Streptomycetales,2,PKS-NRP_Hybrids
Alteromonadales,1,PKS-NRP_Hybrids
Clostridiales,1,PKS-NRP_Hybrids
Oscillatoriales,1,PKS-NRP_Hybrids
Rhodospirillales,1,PKS-NRP_Hybrids
Streptomycetales,12,PKSI
Burkholderiales,3,PKSI
Corynebacteriales,3,PKSI
Desulfovibrionales,1,PKSI
Oscillatoriales,1,PKSI
Pseudonocardiales,1,PKSI
Rhizobiales,1,PKSI
Rhodobacterales,1,PKSI
Rhodospirillales,1,PKSI
Rhizobiales,19,PKSother
Burkholderiales,5,PKSother
Streptomycetales,5,PKSother
Pseudonocardiales,4,PKSother
Rhodospirillales,4,PKSother
Sphingomonadales,4,PKSother
Corynebacteriales,3,PKSother
Lactobacillales,3,PKSother
Deinococcales,1,PKSother
Planctomycetales,1,PKSother
Pseudomonadales,1,PKSother
Rhodobacterales,1,PKSother
Rhizobiales,215,RiPPs
Bacillales,130,RiPPs
Lactobacillales,82,RiPPs
Enterobacterales,71,RiPPs
Burkholderiales,40,RiPPs
Clostridiales,18,RiPPs
Rhodospirillales,15,RiPPs
Legionellales,11,RiPPs
Streptomycetales,10,RiPPs
Sphingomonadales,9,RiPPs
Corynebacteriales,8,RiPPs
Rhodobacterales,7,RiPPs
Nostocales,5,RiPPs
Deinococcales,4,RiPPs
Pseudonocardiales,4,RiPPs
Haloferacales,3,RiPPs
Natrialbales,3,RiPPs
Oscillatoriales,3,RiPPs
Pseudomonadales,3,RiPPs
Bacteroidales,2,RiPPs
Campylobacterales,2,RiPPs
Halobacteriales,2,RiPPs
Micrococcales,2,RiPPs
Spirochaetales,2,RiPPs
Caulobacterales,1,RiPPs
Chroococcales,1,RiPPs
Rhodocyclales,1,RiPPs
Synechococcales,1,RiPPs
Thermomicrobiales,1,RiPPs
Tissierellales,1,RiPPs
Enterobacterales,10,Terpene
Streptomycetales,9,Terpene
Rhizobiales,7,Terpene
Rhodospirillales,6,Terpene
Thermales,6,Terpene
Rhodobacterales,4,Terpene
Bacillales,3,Terpene
Burkholderiales,3,Terpene
No classified,2,Terpene
Corynebacteriales,1,Terpene
Deinococcales,1,Terpene
Natrialbales,1,Terpene
Rubrobacterales,1,Terpene
Burkholderiales,39,NRPS
Bacillales,35,NRPS
Rhizobiales,34,NRPS
Corynebacteriales,24,NRPS
Rhodobacterales,13,NRPS
Rhodospirillales,12,NRPS
Streptomycetales,7,NRPS
Enterobacterales,5,NRPS
Alteromonadales,4,NRPS
Pseudonocardiales,4,NRPS
Nostocales,3,NRPS
Oscillatoriales,3,NRPS
Vibrionales,3,NRPS
Micrococcales,2,NRPS
Clostridiales,1,NRPS
Fusobacteriales,1,NRPS
Lactobacillales,1,NRPS
Legionellales,1,NRPS
Propionibacteriales,1,NRPS
Pseudomonadales,1,NRPS
Rubrobacterales,1,NRPS
Synechococcales,1,NRPS
Thiotrichales,1,NRPS
