AccessionVersion,Size,TaxPhylum,numBGCs
NC_000905.1,6205,Euryarchaeota,0
NC_000906.2,8506,Firmicutes,0
NC_000923.1,6076,Proteobacteria,0
NC_000937.1,9531,Firmicutes,0
NC_000938.1,3498,Firmicutes,0
NC_000948.1,30750,Spirochaetes,0
NC_000949.1,30223,Spirochaetes,0
NC_000950.1,30299,Spirochaetes,0
NC_000951.1,29838,Spirochaetes,0
NC_000952.1,30800,Spirochaetes,0
NC_000953.1,30885,Spirochaetes,0
NC_000954.1,30651,Spirochaetes,0
NC_000955.2,18777,Spirochaetes,0
NC_000956.1,52971,Spirochaetes,0
NC_000957.1,5228,Spirochaetes,0
NC_000958.1,177466,Deinococcus-Thermus,1
NC_000959.1,45704,Deinococcus-Thermus,0
NC_001272.2,6578,Firmicutes,0
NC_001275.1,5123,Proteobacteria,0
NC_001277.1,19515,Firmicutes,0
NC_001315.1,1921,Proteobacteria,0
NC_001316.1,1313,Proteobacteria,0
NC_001336.1,13514,Euryarchaeota,0
NC_001337.1,11014,Euryarchaeota,0
NC_001370.1,2140,Firmicutes,0
NC_001371.1,6646,Proteobacteria,0
NC_001373.1,6720,Proteobacteria,0
NC_001375.1,6354,Euryarchaeota,0
NC_001376.1,2246,Firmicutes,0
NC_001377.1,4207,Proteobacteria,0
NC_001378.1,2083,Proteobacteria,0
NC_001379.1,3292,Firmicutes,0
NC_001380.1,4408,Firmicutes,0
NC_001381.1,4837,Actinobacteria,0
NC_001383.1,1471,Proteobacteria,0
NC_001384.1,4548,Firmicutes,0
NC_001385.1,4448,Actinobacteria,0
NC_001387.1,8830,Actinobacteria,0
NC_001388.1,10206,Firmicutes,0
NC_001390.1,2355,Firmicutes,0
NC_001391.1,3879,Firmicutes,0
NC_001393.1,4439,Firmicutes,0
NC_001395.1,2475,Firmicutes,0
NC_001399.1,6633,Proteobacteria,0
NC_001415.1,19751,Actinobacteria,0
NC_001425.2,11046,Actinobacteria,0
NC_001431.1,2241,Proteobacteria,0
NC_001446.1,7649,Firmicutes,0
NC_001456.1,3054,Actinobacteria,0
NC_001476.1,12887,Proteobacteria,0
NC_001496.1,181654,Firmicutes,0
NC_001520.1,4104,Proteobacteria,0
NC_001537.1,3895,Proteobacteria,0
NC_001597.1,4993,Cyanobacteria,0
NC_001670.1,7921,Firmicutes,0
NC_001705.1,4630,Firmicutes,0
NC_001732.1,58407,Euryarchaeota,0
NC_001733.1,16550,Euryarchaeota,0
NC_001735.4,53423,Proteobacteria,0
NC_001738.1,11696,Actinobacteria,0
NC_001740.1,8684,Proteobacteria,0
NC_001755.1,2935,Bacteroidetes,0
